time,battery
2018-10-23 12:37:35,60.148
2018-10-23 12:37:40,60.148
2018-10-23 12:37:45,60.148
2018-10-23 12:37:50,60.148
2018-10-23 12:37:55,60.686
2018-10-23 12:38:00,60.148
2018-10-23 12:38:05,60.148
2018-10-23 12:38:10,60.148
2018-10-23 12:38:15,60.148
2018-10-23 12:38:20,60.148
2018-10-23 12:38:25,60.148
2018-10-23 12:38:30,60.148
2018-10-23 12:38:35,60.686
2018-10-23 12:38:40,60.686
2018-10-23 12:38:45,60.686
2018-10-23 12:38:50,60.686
2018-10-23 12:38:55,60.686
2018-10-23 12:39:00,59.61
2018-10-23 12:39:05,60.148
2018-10-23 12:39:10,60.148
2018-10-23 12:39:15,60.148
2018-10-23 12:39:20,60.148
2018-10-23 12:39:25,60.686
2018-10-23 12:39:30,60.148
2018-10-23 12:39:35,60.148
2018-10-23 12:39:40,60.686
2018-10-23 12:39:45,60.148
2018-10-23 12:39:50,60.686
2018-10-23 12:39:55,60.148
2018-10-23 12:40:00,60.148
2018-10-23 12:40:05,60.148
2018-10-23 12:40:10,60.148
2018-10-23 12:40:15,60.148
2018-10-23 12:40:20,60.148
2018-10-23 12:40:25,60.686
2018-10-23 12:40:30,60.686
2018-10-23 12:40:35,60.148
2018-10-23 12:40:40,59.61
2018-10-23 12:40:45,59.61
2018-10-23 12:40:50,59.072
2018-10-23 12:40:55,59.072
2018-10-23 12:41:00,59.072
2018-10-23 12:41:05,59.072
2018-10-23 12:41:10,59.072
2018-10-23 12:41:15,59.072
2018-10-23 12:41:20,59.072
2018-10-23 12:41:25,59.072
2018-10-23 12:41:30,59.072
2018-10-23 12:41:35,59.072
2018-10-23 12:41:40,59.072
2018-10-23 12:41:45,59.072
2018-10-23 12:41:50,59.072
2018-10-23 12:41:55,59.072
2018-10-23 12:42:00,60.148
2018-10-23 12:42:05,60.148
2018-10-23 12:42:10,59.61
2018-10-23 12:42:15,60.148
2018-10-23 12:42:20,60.148
2018-10-23 12:42:25,60.148
2018-10-23 12:42:30,59.072
2018-10-23 12:42:35,60.148
2018-10-23 12:42:40,60.148
2018-10-23 12:42:45,60.148
2018-10-23 12:42:50,60.686
2018-10-23 12:42:55,60.686
2018-10-23 12:43:00,60.686
2018-10-23 12:43:05,61.224
2018-10-23 12:43:10,60.686
2018-10-23 12:43:15,61.224
2018-10-23 12:43:20,60.686
2018-10-23 12:43:25,61.224
2018-10-23 12:43:30,61.224
2018-10-23 12:43:35,60.686
2018-10-23 12:43:40,61.224
2018-10-23 12:43:45,61.224
2018-10-23 12:43:50,61.224
2018-10-23 12:43:55,61.224
2018-10-23 12:44:00,60.686
2018-10-23 12:44:05,61.224
2018-10-23 12:44:10,61.224
2018-10-23 12:44:15,61.224
2018-10-23 12:44:20,61.224
2018-10-23 12:44:25,60.686
2018-10-23 12:44:30,60.686
2018-10-23 12:44:35,60.148
2018-10-23 12:44:40,61.224
2018-10-23 12:44:45,61.224
2018-10-23 12:44:50,61.224
2018-10-23 12:44:55,61.224
2018-10-23 12:45:00,60.686
2018-10-23 12:45:05,60.148
2018-10-23 12:45:10,61.224
2018-10-23 12:45:15,60.686
2018-10-23 12:45:20,60.686
2018-10-23 12:45:25,61.224
2018-10-23 12:45:30,60.686
2018-10-23 12:45:35,61.224
2018-10-23 12:45:40,61.224
2018-10-23 12:45:45,60.686
2018-10-23 12:45:50,61.224
2018-10-23 12:45:55,61.224
2018-10-23 12:46:00,60.686
2018-10-23 12:46:05,60.686
2018-10-23 12:46:10,60.686
2018-10-23 12:46:15,60.686
2018-10-23 12:46:20,60.148
2018-10-23 12:46:25,60.686
2018-10-23 12:46:30,60.686
2018-10-23 12:46:35,60.686
2018-10-23 12:46:40,60.686
2018-10-23 12:46:45,60.148
2018-10-23 12:46:50,60.686
2018-10-23 12:46:56,60.686
2018-10-23 12:47:01,60.686
2018-10-23 12:47:06,60.686
2018-10-23 12:47:11,60.686
2018-10-23 12:47:16,61.224
2018-10-23 12:47:21,61.224
2018-10-23 12:47:26,61.224
2018-10-23 12:47:31,61.224
2018-10-23 12:47:36,61.224
2018-10-23 12:47:41,61.224
2018-10-23 12:47:46,60.686
2018-10-23 12:47:51,60.686
2018-10-23 12:47:56,60.686
2018-10-23 12:48:01,61.224
2018-10-23 12:48:06,60.686
2018-10-23 12:48:11,60.686
2018-10-23 12:48:16,61.224
2018-10-23 12:48:21,60.686
2018-10-23 12:48:26,60.686
2018-10-23 12:48:31,61.224
2018-10-23 12:48:36,61.224
2018-10-23 12:48:41,61.224
2018-10-23 12:48:46,61.224
2018-10-23 12:48:51,61.224
2018-10-23 12:48:56,61.224
2018-10-23 12:49:01,61.762
2018-10-23 12:49:06,61.224
2018-10-23 12:49:11,61.224
2018-10-23 12:49:16,60.686
2018-10-23 12:49:21,60.686
2018-10-23 12:49:26,61.224
2018-10-23 12:49:31,60.686
2018-10-23 12:49:36,61.224
2018-10-23 12:49:41,61.224
2018-10-23 12:49:46,61.762
2018-10-23 12:49:51,61.224
2018-10-23 12:49:56,60.686
2018-10-23 12:50:01,61.224
2018-10-23 12:50:06,61.224
2018-10-23 12:50:11,60.686
2018-10-23 12:50:16,60.686
2018-10-23 12:50:21,61.224
2018-10-23 12:50:26,60.686
2018-10-23 12:50:31,61.224
2018-10-23 12:50:36,61.224
2018-10-23 12:50:41,61.224
2018-10-23 12:50:46,61.224
2018-10-23 12:50:51,61.224
2018-10-23 12:50:56,60.686
2018-10-23 12:51:01,61.224
2018-10-23 12:51:06,61.224
2018-10-23 12:51:11,61.224
2018-10-23 12:51:16,61.224
2018-10-23 12:51:21,61.224
2018-10-23 12:51:26,60.686
2018-10-23 12:51:31,60.686
2018-10-23 12:51:36,61.224
2018-10-23 12:51:41,61.224
2018-10-23 12:51:46,60.686
2018-10-23 12:51:51,60.686
2018-10-23 12:51:56,61.224
2018-10-23 12:52:01,61.224
2018-10-23 12:52:06,61.224
2018-10-23 12:52:11,60.686
2018-10-23 12:52:16,61.224
2018-10-23 12:52:21,61.224
2018-10-23 12:52:26,61.224
2018-10-23 12:52:31,61.224
2018-10-23 12:52:36,60.686
2018-10-23 12:52:41,61.224
2018-10-23 12:52:46,61.224
2018-10-23 12:52:51,61.224
2018-10-23 12:52:56,61.762
2018-10-23 12:53:01,61.224
2018-10-23 12:53:06,61.762
2018-10-23 12:53:11,62.3
2018-10-23 12:53:16,61.224
2018-10-23 12:53:21,61.762
2018-10-23 12:53:26,61.224
2018-10-23 12:53:31,61.224
2018-10-23 12:53:36,61.224
2018-10-23 12:53:41,61.224
2018-10-23 12:53:46,61.224
2018-10-23 12:53:51,61.224
2018-10-23 12:53:56,61.762
2018-10-23 12:54:01,62.3
2018-10-23 12:54:06,62.3
2018-10-23 12:54:11,62.3
2018-10-23 12:54:16,61.762
2018-10-23 12:54:21,62.3
2018-10-23 12:54:26,61.762
2018-10-23 12:54:31,61.224
2018-10-23 12:54:36,61.762
2018-10-23 12:54:41,61.762
2018-10-23 12:54:46,61.762
2018-10-23 12:54:51,62.3
2018-10-23 12:54:56,61.762
2018-10-23 12:55:01,62.3
2018-10-23 12:55:06,61.762
2018-10-23 12:55:11,61.762
2018-10-23 12:55:16,61.762
2018-10-23 12:55:21,61.762
2018-10-23 12:55:26,61.224
2018-10-23 12:55:31,61.762
2018-10-23 12:55:36,61.762
2018-10-23 12:55:41,61.224
2018-10-23 12:55:46,62.3
2018-10-23 12:55:51,62.3
2018-10-23 12:55:56,62.3
2018-10-23 12:56:01,61.762
2018-10-23 12:56:06,61.224
2018-10-23 12:56:11,61.762
2018-10-23 12:56:16,61.762
2018-10-23 12:56:21,61.224
2018-10-23 12:56:26,61.224
2018-10-23 12:56:31,61.762
2018-10-23 12:56:36,61.762
2018-10-23 12:56:41,62.3
2018-10-23 12:56:46,61.762
2018-10-23 12:56:51,61.762
2018-10-23 12:56:56,61.762
2018-10-23 12:57:01,62.3
2018-10-23 12:57:06,61.762
2018-10-23 12:57:11,61.762
2018-10-23 12:57:16,62.3
2018-10-23 12:57:21,62.3
2018-10-23 12:57:26,62.3
2018-10-23 12:57:31,62.3
2018-10-23 12:57:36,61.762
2018-10-23 12:57:41,62.3
2018-10-23 12:57:46,62.3
2018-10-23 12:57:51,62.3
2018-10-23 12:57:56,62.3
2018-10-23 12:58:01,62.3
2018-10-23 12:58:06,62.3
2018-10-23 12:58:11,62.3
2018-10-23 12:58:16,62.3
2018-10-23 12:58:21,62.3
2018-10-23 12:58:26,62.3
2018-10-23 12:58:31,61.762
2018-10-23 12:58:36,62.3
2018-10-23 12:58:41,62.3
2018-10-23 12:58:46,61.762
2018-10-23 12:58:51,61.762
2018-10-23 12:58:56,62.3
2018-10-23 12:59:01,62.3
2018-10-23 12:59:06,62.3
2018-10-23 12:59:11,62.3
2018-10-23 12:59:16,61.762
2018-10-23 12:59:21,62.3
2018-10-23 12:59:26,62.3
2018-10-23 12:59:31,61.762
2018-10-23 12:59:36,61.224
2018-10-23 12:59:41,62.3
2018-10-23 12:59:46,61.224
2018-10-23 12:59:51,61.762
2018-10-23 12:59:56,61.762
2018-10-23 13:00:01,59
